nodes,ppm,topo,seed,mask,prr,delay_ms,nlt_ms,gen,recv
80,100,08,1,rssi-re-bdi-qo-hc__0101111,0.445605,2066.39,888346,129792,57836
80,100,09,1,rssi-re-bdi-qo-hc__0101111,0.588906,2950.49,684388,174004,102472
80,100,10,1,rssi-re-bdi-qo-hc__0101111,0.603742,2599.64,901469,156350,94395
80,120,01,1,rssi-re-bdi-qo-hc__0101111,0.421856,2773.95,822791,157805,66571
80,120,02,1,rssi-re-bdi-qo-hc__0101111,0.570769,3035.00,538896,183987,105014
80,120,03,1,rssi-re-bdi-qo-hc__0101111,0.450351,2401.38,872064,129730,58424
80,120,04,1,rssi-re-bdi-qo-hc__0101111,0.365719,3307.34,583384,142421,52086
80,120,05,1,rssi-re-bdi-qo-hc__0101111,0.494899,3169.01,502932,180459,89309
80,120,06,1,rssi-re-bdi-qo-hc__0101111,0.321917,2739.08,579111,96904,31195
80,120,07,1,rssi-re-bdi-qo-hc__0101111,0.510817,2788.94,724268,188680,96381
80,120,08,1,rssi-re-bdi-qo-hc__0101111,0.382210,2663.23,846385,129434,49471
80,120,09,1,rssi-re-bdi-qo-hc__0101111,0.570429,2976.51,869864,184931,105490
80,120,10,1,rssi-re-bdi-qo-hc__0101111,0.523088,2371.72,827821,187846,98260
100,80,01,1,rssi-re-bdi-qo-hc__0101111,0.443031,2208.81,1149297,173419,76830
100,80,02,1,rssi-re-bdi-qo-hc__0101111,0.414056,2330.81,632541,140505,58177
100,80,03,1,rssi-re-bdi-qo-hc__0101111,0.275331,2349.69,1344279,132437,36464
100,80,04,1,rssi-re-bdi-qo-hc__0101111,0.445327,2430.79,766989,163498,72810
100,80,05,1,rssi-re-bdi-qo-hc__0101111,0.431899,3284.75,815838,194969,84207
100,80,06,1,rssi-re-bdi-qo-hc__0101111,0.408195,2316.83,784924,120070,49012
100,80,07,1,rssi-re-bdi-qo-hc__0101111,0.363197,2327.15,1182853,157317,57137
100,80,08,1,rssi-re-bdi-qo-hc__0101111,0.250393,2364.60,722746,96077,24057
100,80,09,1,rssi-re-bdi-qo-hc__0101111,0.407207,2518.91,684230,172981,70439
100,80,10,1,rssi-re-bdi-qo-hc__0101111,0.451971,2331.07,833281,183337,82863
